Latitude,Longitude,LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,PropertyGFABuilding(s)(%),BuildingType,PrimaryPropertyType,ZipCode,CouncilDistrictCode,Neighborhood,NumberofBuildings,NumberofFloors,LargestPropertyUseType,SecondLargestPropertyUseType,ThirdLargestPropertyUseType,ComplianceStatus,AgeBuilt,Source_principale,Source_secondaire,Source_tertiaire,SiteEnergyUse(kBtu)
47.62519,-122.34456,78051.0,44891.0,0.0,63.486,NonResidential,Hotel,98109.0,7,Magnolia / Queen Anne,1.0,4,Hotel,Parking,None,Compliant,17,NaturalGas(kBtu),Electricity(kBtu),None,5337334.0
47.60823,-122.30956,54984.0,0.0,0.0,100.0,NonResidential,Small- and Mid-Sized Office,98122.0,3,Central,1.0,2,Office,None,None,Compliant,54,Electricity(kBtu),NaturalGas(kBtu),None,3375211.0
47.55837,-122.37751,296313.0,0.0,0.0,100.0,NonResidential,Senior Care Community,98126.0,1,Southwest,1.0,5,Senior Care Community,Parking,None,Compliant,94,NaturalGas(kBtu),Electricity(kBtu),None,42792072.0
47.72426,-122.35599,93397.0,0.0,0.0,100.0,NonResidential,Senior Care Community,98133.0,5,Northwest,1.0,2,Senior Care Community,None,None,Compliant,46,NaturalGas(kBtu),Electricity(kBtu),None,16402563.0
47.61988,-122.33211,63371.0,20732.0,0.0,75.349,NonResidential,Hotel,98109.0,7,Lake Union,1.0,6,Hotel,Parking,None,Compliant,8,Electricity(kBtu),NaturalGas(kBtu),None,3706100.25
47.60898,-122.32693,76631.0,0.0,0.0,100.0,NonResidential,Hotel,98104.0,3,East,1.0,7,Hotel,None,None,Compliant,108,NaturalGas(kBtu),Electricity(kBtu),None,7258758.5
47.60845,-122.32637,40174.0,20868.0,17020.0,90.638,NonResidential,Mixed Use Property,98104.0,3,East,1.0,6,Medical Office,Parking,Office,Compliant,33,Electricity(kBtu),SteamUse(kBtu),None,15473117.0
47.62237,-122.33805,72072.0,0.0,0.0,100.0,NonResidential,Retail Store,98109.0,7,Lake Union,1.0,2,Retail Store,None,None,Compliant,87,NaturalGas(kBtu),Electricity(kBtu),None,1049748.625
47.62424,-122.33646,261826.0,150726.0,15139.0,100.0,NonResidential,Large Office,98109.0,7,Lake Union,1.0,5,Office,Parking,Other,Compliant,6,Electricity(kBtu),NaturalGas(kBtu),None,13795954.0
47.62642,-122.33325,235788.0,51537.0,0.0,84.174,NonResidential,Hotel,98109.0,3,Lake Union,1.0,7,Hotel,Parking,None,Compliant,26,Electricity(kBtu),NaturalGas(kBtu),None,19459304.0
47.62208,-122.35398,368000.0,0.0,0.0,100.0,Nonresidential COS,Other,98109.0,7,Magnolia / Queen Anne,1.0,1,Other,None,None,Compliant,54,Electricity(kBtu),SteamUse(kBtu),NaturalGas(kBtu),23658978.0
47.62208,-122.35398,65000.0,0.0,0.0,100.0,Nonresidential COS,Other,98109.0,7,Magnolia / Queen Anne,1.0,1,Other,None,None,Compliant,54,SteamUse(kBtu),Electricity(kBtu),None,8141155.5
47.62208,-122.35398,278500.0,0.0,0.0,100.0,Nonresidential COS,Other,98109.0,7,Magnolia / Queen Anne,1.0,5,Other,None,None,Compliant,78,SteamUse(kBtu),Electricity(kBtu),None,20955026.0
47.62112,-122.33629,598801.0,310699.0,26203.0,100.0,NonResidential,Large Office,98109.0,7,Lake Union,1.0,12,Office,Parking,Other,Compliant,6,Electricity(kBtu),NaturalGas(kBtu),None,39605888.0
47.62395,-122.35077,52000.0,0.0,0.0,100.0,Nonresidential COS,Other,98109.0,7,Magnolia / Queen Anne,1.0,2,Other,None,None,Compliant,54,Electricity(kBtu),SteamUse(kBtu),None,2726369.0
47.62395,-122.35077,108000.0,0.0,0.0,100.0,Nonresidential COS,Other,98109.0,7,Magnolia / Queen Anne,1.0,1,Other,None,None,Compliant,88,Electricity(kBtu),None,None,875943.3125
47.62395,-122.35143,296000.0,0.0,0.0,100.0,Nonresidential COS,Other,98109.0,7,Magnolia / Queen Anne,1.0,2,Other,None,None,Compliant,88,Electricity(kBtu),SteamUse(kBtu),None,20723248.0
47.62419,-122.34443,729584.0,185014.0,6000.0,67.01,NonResidential,Large Office,98109.0,7,Magnolia / Queen Anne,1.0,6,Office,Parking,Other,Compliant,6,Electricity(kBtu),NaturalGas(kBtu),None,36667044.0
47.62053,-122.35842,48546.0,21454.0,2406.0,65.977,NonResidential,Small- and Mid-Sized Office,98033.0,7,Magnolia / Queen Anne,1.0,4,Office,Parking,Other,Compliant,46,Electricity(kBtu),NaturalGas(kBtu),None,3476212.5
47.62291,-122.35708,59976.0,36934.0,0.0,61.888,NonResidential,Hotel,98109.0,7,Magnolia / Queen Anne,1.0,6,Hotel,Parking,None,Compliant,14,Electricity(kBtu),NaturalGas(kBtu),None,5155568.5
47.65772,-122.31756,50017.0,0.0,0.0,100.0,NonResidential,Hotel,98105.0,4,Northeast,2.0,4,Hotel,Swimming Pool,None,Compliant,54,NaturalGas(kBtu),Electricity(kBtu),None,5448975.0
47.62548,-122.30828,67743.0,0.0,0.0,100.0,NonResidential,K-12 School,98112.0,3,East,1.0,3,K-12 School,None,None,Compliant,93,Electricity(kBtu),NaturalGas(kBtu),None,2646879.0
47.62644,-122.30429,194104.0,0.0,0.0,100.0,NonResidential,K-12 School,98112.0,3,East,1.0,6,K-12 School,None,None,Compliant,108,NaturalGas(kBtu),Electricity(kBtu),None,6219841.5
47.58408,-122.30125,63681.0,35752.0,0.0,64.044,NonResidential,Small- and Mid-Sized Office,98144.0,3,Southeast,1.0,3,Office,Parking,None,Compliant,13,Electricity(kBtu),None,None,4897760.0
47.67524,-122.31534,49000.0,0.0,0.0,100.0,NonResidential,Other,98115.0,4,Northeast,1.0,4,Other,None,None,Compliant,75,Electricity(kBtu),None,None,6357632.0
47.67559,-122.31769,119146.0,0.0,0.0,100.0,NonResidential,Other,98115.0,4,Northeast,1.0,2,Other,Parking,None,Compliant,87,NaturalGas(kBtu),Electricity(kBtu),None,4253577.5
47.73141,-122.3458,51390.0,0.0,0.0,100.0,NonResidential,Hotel,98133.0,5,Northwest,1.0,4,Hotel,Parking,None,Compliant,15,NaturalGas(kBtu),Electricity(kBtu),None,3611538.0
47.72551,-122.3423,70609.0,0.0,0.0,100.0,NonResidential,Hotel,98133.0,5,Northwest,1.0,3,Hotel,None,None,Compliant,14,Electricity(kBtu),NaturalGas(kBtu),None,3242458.0
47.6048,-122.3368,190980.0,19051.0,0.0,100.0,NonResidential,Hotel,98104.0,7,Downtown,1.0,5,Hotel,Parking,None,Compliant,112,Electricity(kBtu),NaturalGas(kBtu),None,6505995.0
47.60804,-122.3367,189750.0,0.0,0.0,100.0,Nonresidential COS,Other,98111.0,7,Downtown,1.0,6,Other - Entertainment/Public Assembly,None,None,Compliant,18,Electricity(kBtu),SteamUse(kBtu),NaturalGas(kBtu),14641502.0
47.60112,-122.32785,42755.0,29219.0,0.0,100.0,Nonresidential COS,Other,98104.0,2,Downtown,1.0,4,Other,Office,None,Compliant,10,Electricity(kBtu),NaturalGas(kBtu),None,9363374.0
47.59809,-122.32283,58000.0,0.0,0.0,81.022,NonResidential,Other,98104.0,2,Downtown,1.0,4,Museum,None,None,Compliant,106,Electricity(kBtu),NaturalGas(kBtu),None,2010454.625
47.62614,-122.3467,113702.0,32692.0,0.0,91.247,NonResidential,Hotel,98109.0,7,Magnolia / Queen Anne,1.0,4,Hotel,Parking,None,Compliant,20,Electricity(kBtu),NaturalGas(kBtu),None,7946961.0
47.61495,-122.32177,64820.0,0.0,0.0,100.0,NonResidential,University,98122.0,3,East,1.0,3,College/University,None,None,Compliant,101,Electricity(kBtu),NaturalGas(kBtu),None,3059758.0
47.67828,-122.26456,92300.0,4944.0,0.0,100.0,NonResidential,Small- and Mid-Sized Office,98115.0,4,Northeast,1.0,2,Office,Data Center,None,Compliant,14,Electricity(kBtu),NaturalGas(kBtu),None,16319835.0
47.59545,-122.32146,68359.0,0.0,0.0,100.0,Nonresidential COS,Other,98134.0,2,Greater Duwamish,1.0,1,"Repair Services (Vehicle, Shoe, Locksmith, etc)",None,None,Compliant,66,Electricity(kBtu),NaturalGas(kBtu),None,7475577.5
47.53827,-122.28406,25765.0,25000.0,0.0,100.0,NonResidential,Small- and Mid-Sized Office,98118.0,2,Greater Duwamish,1.0,1,Office,Other,None,Compliant,58,Electricity(kBtu),NaturalGas(kBtu),None,4253369.5
47.53722,-122.284,46483.0,37938.0,4579.0,100.0,NonResidential,Other,98118.0,2,Greater Duwamish,1.0,5,Other - Lodging/Residential,Office,Food Service,Compliant,7,NaturalGas(kBtu),Electricity(kBtu),None,1950092.5
47.65147,-122.36122,52611.0,0.0,0.0,100.0,NonResidential,University,98119.0,7,Magnolia / Queen Anne,1.0,2,College/University,None,None,Compliant,36,Electricity(kBtu),NaturalGas(kBtu),None,4116871.5
47.65068,-122.36331,135520.0,0.0,0.0,73.138,NonResidential,Residence Hall,98119.0,7,Magnolia / Queen Anne,1.0,4,Residence Hall/Dormitory,None,None,Compliant,15,Electricity(kBtu),NaturalGas(kBtu),None,4448582.5
47.60462,-122.31549,137565.0,78357.0,0.0,100.0,NonResidential,Other,98122.0,3,Central,3.0,6,Other,Courthouse,None,Compliant,45,Electricity(kBtu),SteamUse(kBtu),NaturalGas(kBtu),13071700.0
47.61598,-122.33448,250000.0,0.0,0.0,77.118,NonResidential,Other,98101.0,7,Downtown,1.0,11,Other,None,None,Compliant,12,NaturalGas(kBtu),Electricity(kBtu),None,65336980.0
47.536,-122.31768,30000.0,15000.0,9015.0,100.0,NonResidential,Small- and Mid-Sized Office,98108.0,2,Greater Duwamish,1.0,3,Office,Non-Refrigerated Warehouse,Other - Services,Compliant,9,Electricity(kBtu),NaturalGas(kBtu),None,3242077.75
47.70759,-122.3255,505103.0,24936.0,0.0,100.0,NonResidential,Retail Store,98125.0,5,North,1.0,1,Retail Store,Restaurant,None,Compliant,65,Electricity(kBtu),NaturalGas(kBtu),None,27717034.0
47.7066,-122.321,47012.0,0.0,0.0,100.0,NonResidential,Other,98125.0,5,North,1.0,3,Other/Specialty Hospital,None,None,Compliant,52,NaturalGas(kBtu),Electricity(kBtu),None,7265178.0
47.70619,-122.32586,122000.0,0.0,0.0,100.0,NonResidential,Retail Store,98125.0,5,North,1.0,4,Retail Store,None,None,Compliant,51,Electricity(kBtu),NaturalGas(kBtu),None,8765978.0
47.70956,-122.3345,28636.0,15385.0,8644.0,100.0,NonResidential,Other,98133.0,5,Northwest,1.0,3,Financial Office,Parking,Medical Office,Compliant,20,Electricity(kBtu),NaturalGas(kBtu),None,3191228.25
47.61233,-122.3171,85521.0,0.0,0.0,100.0,NonResidential,Self-Storage Facility,98122.0,3,East,1.0,5,Self-Storage Facility,None,None,Compliant,106,NaturalGas(kBtu),Electricity(kBtu),None,1381590.125
47.55152,-122.31869,114297.0,0.0,0.0,100.0,NonResidential,Warehouse,98108.0,2,Greater Duwamish,1.0,4,Non-Refrigerated Warehouse,None,None,Compliant,112,NaturalGas(kBtu),Electricity(kBtu),None,2100097.75
47.55901,-122.33328,234144.0,0.0,0.0,100.0,NonResidential,Warehouse,98134.0,2,Greater Duwamish,1.0,1,Non-Refrigerated Warehouse,None,None,Compliant,79,NaturalGas(kBtu),Electricity(kBtu),None,6744317.0
47.52254,-122.36627,65425.0,0.0,0.0,100.0,NonResidential,Retail Store,98126.0,1,Delridge,1.0,1,Retail Store,None,None,Compliant,50,Electricity(kBtu),NaturalGas(kBtu),None,2944296.25
47.52254,-122.36627,67782.0,0.0,0.0,100.0,NonResidential,Retail Store,98126.0,1,Delridge,1.0,1,Retail Store,None,None,Compliant,51,NaturalGas(kBtu),Electricity(kBtu),None,9230223.0
47.67767,-122.39631,56000.0,0.0,0.0,100.0,NonResidential,Other,98117.0,6,Ballard,1.0,3,Other,None,None,Compliant,43,NaturalGas(kBtu),Electricity(kBtu),None,1851260.5
47.54508,-122.37737,52088.0,0.0,0.0,100.0,NonResidential,Self-Storage Facility,98126.0,1,Southwest,1.0,2,Self-Storage Facility,None,None,Compliant,47,NaturalGas(kBtu),Electricity(kBtu),None,1377519.5
47.62972,-122.32906,123920.0,30000.0,0.0,75.791,NonResidential,Hotel,98109.0,3,Lake Union,1.0,5,Hotel,Parking,Swimming Pool,Compliant,18,NaturalGas(kBtu),Electricity(kBtu),None,9373179.0
47.62759,-122.33661,43000.0,0.0,0.0,100.0,Nonresidential COS,Other,98109.0,3,Lake Union,1.0,1,Museum,None,None,Compliant,116,Electricity(kBtu),NaturalGas(kBtu),None,7548807.0
47.62591,-122.34084,42345.0,5000.0,4730.0,100.0,Nonresidential COS,Warehouse,98109.0,7,Magnolia / Queen Anne,1.0,2,Non-Refrigerated Warehouse,Residence Hall/Dormitory,Office,Compliant,90,Electricity(kBtu),None,None,430473.6875
47.62782,-122.34045,141591.0,0.0,0.0,73.831,NonResidential,Hotel,98109.0,7,Magnolia / Queen Anne,1.0,7,Hotel,None,None,Compliant,18,NaturalGas(kBtu),Electricity(kBtu),None,11171988.0
47.70044,-122.34136,57968.0,32881.0,11850.0,100.0,Nonresidential COS,Small- and Mid-Sized Office,98103.0,5,Northwest,1.0,2,Office,Distribution Center,Parking,Compliant,59,Electricity(kBtu),NaturalGas(kBtu),None,9472358.0
47.70916,-122.33216,64893.0,0.0,0.0,100.0,NonResidential,Hotel,98133.0,5,Northwest,1.0,4,Hotel,None,None,Compliant,48,NaturalGas(kBtu),Electricity(kBtu),None,6197825.0
47.60105,-122.33518,34416.0,7672.0,2470.0,100.0,NonResidential,Small- and Mid-Sized Office,98104.0,7,Downtown,1.0,3,Office,Self-Storage Facility,Restaurant,Compliant,116,Electricity(kBtu),NaturalGas(kBtu),None,1677002.25
47.59544,-122.33159,1585960.0,0.0,0.0,79.339,NonResidential,Other,98134.0,2,Greater Duwamish,1.0,6,Other - Entertainment/Public Assembly,Parking,None,Compliant,17,Electricity(kBtu),NaturalGas(kBtu),None,59757440.0
47.57199,-122.32811,117476.0,37321.0,25543.0,100.0,Nonresidential COS,Distribution Center,98134.0,2,Greater Duwamish,1.0,2,Distribution Center,Office,Other,Compliant,92,Electricity(kBtu),NaturalGas(kBtu),None,9436408.0
47.57199,-122.32811,40831.0,16735.0,11533.0,100.0,Nonresidential COS,Warehouse,98134.0,2,Greater Duwamish,1.0,2,Non-Refrigerated Warehouse,Other - Services,Office,Compliant,51,Electricity(kBtu),None,None,3928695.25
47.59085,-122.33354,1172127.0,0.0,0.0,100.0,NonResidential,Other,98134.0,2,Greater Duwamish,1.0,3,Other - Entertainment/Public Assembly,None,None,Compliant,17,Electricity(kBtu),NaturalGas(kBtu),None,58761304.0
47.59269,-122.33372,135006.0,20600.0,9216.0,91.352,NonResidential,Hotel,98134.0,2,Greater Duwamish,1.0,9,Hotel,Parking,Food Service,Compliant,11,NaturalGas(kBtu),Electricity(kBtu),None,12726789.0
47.70281,-122.32532,335109.0,65000.0,13567.0,20.183,NonResidential,Other,98125.0,5,North,1.0,6,Parking,Movie Theater,Medical Office,Compliant,8,Electricity(kBtu),NaturalGas(kBtu),None,9134963.0
47.6239,-122.35756,58563.0,48520.0,29839.0,100.0,NonResidential,Mixed Use Property,98119.0,7,Magnolia / Queen Anne,1.0,4,Multifamily Housing,Supermarket/Grocery Store,Parking,Compliant,14,Electricity(kBtu),NaturalGas(kBtu),None,10557910.0
47.61275,-122.3333,495536.0,438756.0,49700.0,100.0,NonResidential,Hotel,98101.0,7,Downtown,1.0,0,Hotel,Parking,Restaurant,Compliant,17,Electricity(kBtu),NaturalGas(kBtu),None,65047284.0
47.65097,-122.34227,67236.0,8161.0,0.0,89.176,NonResidential,Warehouse,98103.0,4,Lake Union,1.0,3,Non-Refrigerated Warehouse,Parking,None,Compliant,25,Electricity(kBtu),NaturalGas(kBtu),None,549181.375
47.59626,-122.3218,55259.0,40091.0,3231.0,87.732,NonResidential,Senior Care Community,98104.0,2,Downtown,1.0,5,Senior Care Community,Medical Office,K-12 School,Compliant,17,Electricity(kBtu),NaturalGas(kBtu),None,10105379.0
47.66568,-122.31368,55500.0,0.0,0.0,100.0,NonResidential,K-12 School,98105.0,4,Northeast,1.0,2,K-12 School,None,None,Compliant,88,NaturalGas(kBtu),Electricity(kBtu),None,1377627.0
