Latitude,Longitude,LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,PropertyGFABuilding(s)(%),ENERGYSTARScore,BuildingType,PrimaryPropertyType,ZipCode,CouncilDistrictCode,Neighborhood,NumberofBuildings,NumberofFloors,LargestPropertyUseType,SecondLargestPropertyUseType,ThirdLargestPropertyUseType,ComplianceStatus,AgeBuilt,Source_principale,Source_secondaire,Source_tertiaire,TotalGHGEmissions
47.72558,-122.3578,22898.0,0.0,0.0,100.0,100.0,NonResidential,Worship Facility,98133.0,5,Northwest,1.0,1,Worship Facility,Parking,None,Compliant,54,Electricity(kBtu),None,None,1.85
47.5213,-122.32182,31600.0,0.0,0.0,100.0,3.0,NonResidential,Warehouse,98108.0,1,Greater Duwamish,1.0,1,Non-Refrigerated Warehouse,None,None,Compliant,37,NaturalGas(kBtu),Electricity(kBtu),None,103.28
47.52024,-122.32137,35289.0,0.0,0.0,100.0,63.0,NonResidential,Warehouse,98108.0,1,Greater Duwamish,1.0,1,Non-Refrigerated Warehouse,None,None,Compliant,9,Electricity(kBtu),NaturalGas(kBtu),None,23.9
47.51899,-122.321,30000.0,0.0,0.0,100.0,50.0,NonResidential,Warehouse,98108.0,1,Greater Duwamish,1.0,1,Non-Refrigerated Warehouse,None,None,Compliant,35,NaturalGas(kBtu),Electricity(kBtu),None,80.09
47.5193,-122.3213,22176.0,0.0,0.0,100.0,60.0,NonResidential,Warehouse,98108.0,1,Greater Duwamish,1.0,1,Non-Refrigerated Warehouse,None,None,Compliant,38,NaturalGas(kBtu),Electricity(kBtu),None,32.77
47.70079,-122.32714,39541.0,0.0,0.0,100.0,38.0,NonResidential,Small- and Mid-Sized Office,98125.0,5,North,1.0,3,Office,Parking,None,Compliant,42,Electricity(kBtu),None,None,24.88
47.69883,-122.32479,23320.0,7290.0,0.0,100.0,,NonResidential,Other,98115.0,5,North,1.0,1,Other - Recreation,Office,None,Compliant,37,NaturalGas(kBtu),Electricity(kBtu),None,135.81
47.70007,-122.32533,26930.0,0.0,0.0,76.42,64.0,NonResidential,Medical Office,98115.0,5,North,1.0,2,Medical Office,None,None,Compliant,36,Electricity(kBtu),None,None,6.99
47.70087,-122.32379,65069.0,0.0,0.0,100.0,76.0,NonResidential,Medical Office,98115.0,5,North,1.0,2,Medical Office,Parking,None,Compliant,48,Electricity(kBtu),NaturalGas(kBtu),None,49.62
47.66353,-122.29505,20296.0,0.0,0.0,100.0,,NonResidential,Self-Storage Facility,98105.0,4,Northeast,1.0,2,Self-Storage Facility,None,None,Compliant,57,Electricity(kBtu),None,None,5.97
47.66246,-122.29342,10388.0,8116.0,3200.0,100.0,,NonResidential,Mixed Use Property,98105.0,4,Northeast,1.0,2,Medical Office,Office,Retail Store,Compliant,71,Electricity(kBtu),NaturalGas(kBtu),None,27.41
47.66183,-122.29264,35066.0,3312.0,0.0,100.0,86.0,NonResidential,Medical Office,98105.0,4,Northeast,1.0,3,Medical Office,Parking,None,Compliant,49,NaturalGas(kBtu),Electricity(kBtu),None,53.73
47.66294,-122.29521,33576.0,0.0,0.0,100.0,64.0,NonResidential,Warehouse,98105.0,4,Northeast,1.0,2,Non-Refrigerated Warehouse,None,None,Compliant,36,NaturalGas(kBtu),Electricity(kBtu),None,49.73
47.66205,-122.29545,34982.0,0.0,0.0,100.0,21.0,NonResidential,Supermarket / Grocery Store,98105.0,4,Northeast,1.0,1,Supermarket/Grocery Store,Parking,None,Compliant,41,Electricity(kBtu),NaturalGas(kBtu),None,225.67
47.61074,-122.32259,23483.0,10360.0,8509.0,100.0,,NonResidential,Other,98104.0,3,East,1.0,1,Parking,Retail Store,Medical Office,Compliant,35,Electricity(kBtu),None,None,5.08
47.63981,-122.39907,20000.0,3910.0,0.0,100.0,,NonResidential,Small- and Mid-Sized Office,98199.0,7,Magnolia / Queen Anne,1.0,3,Office,Retail Store,None,Compliant,89,Electricity(kBtu),NaturalGas(kBtu),None,15.11
47.67477,-122.38241,21765.0,0.0,0.0,100.0,80.0,NonResidential,Worship Facility,98107.0,6,Ballard,1.0,2,Worship Facility,None,None,Compliant,106,NaturalGas(kBtu),Electricity(kBtu),None,17.38
