OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Address,City,State,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),DefaultData,ComplianceStatus,TotalGHGEmissions,GHGEmissionsIntensity,Verified_Coordinates,Coordinates_Match,Latitude_err,Longitude_err
115,2016,NonResidential,Small- and Mid-Sized Office,J.G. Scripps Building,221 1st Ave. W,Seattle,WA,98033.0,1989200850,7,MAGNOLIA / QUEEN ANNE,47.62053,-122.35842,1970,1.0,4,76213,25930,50283,"Office, Other, Parking",Office,48546.0,Parking,21454.0,68.0,68.19999695,71.59999847,192.3999939,196.0,3476212.5,3647345.75,0.0,863039.875,2944692.0,5315.200195,531520.0,False,Compliant,48.76,0.64,"(47.62054, -122.35844)",False,9.999999996068709e-06,-2.0000000006348273e-05
116,2016,NonResidential,Hotel,MEDITERRANEAN INN (ID#116),425 queen anne ave N.,Seattle,WA,98109.0,1989201125,7,MAGNOLIA / QUEEN ANNE,47.62291,-122.35708,2002,1.0,6,96910,36934,59976,"Hotel, Parking",Hotel,59976.0,Parking,36934.0,56.0,86.0,87.90000153,182.1999969,188.3999939,5155568.5,5274523.0,0.0,772863.625,2637011.0,25185.58008,2518558.0,False,Compliant,152.14,1.57,"(47.62304, -122.35694)",False,0.00013000000000573664,0.00014000000000180535
117,2016,NonResidential,Hotel,UNIVERSITY INN,4140 ROOSEVELT WAY NE,Seattle,WA,98105.0,1142001871,4,NORTHEAST,47.65772,-122.31756,1962,2.0,4,50017,0,50017,"Hotel, Swimming Pool",Hotel,50017.0,Swimming Pool,0.0,53.0,108.9000015,110.5,203.3000031,205.8000031,5448975.0,5528580.5,0.0,623770.6875,2128306.0,33206.69141,3320669.0,False,Compliant,191.2,3.82,"(47.65775, -122.31752)",False,3.0000000002416982e-05,3.999999999848569e-05
118,2016,SPS-District K-12,K-12 School,Pathfinder K-8,1901 SW Genesee St.,Seattle,WA,98106.0,1324039116,1,DELRIDGE,47.5636,-122.358,1999,1.0,3,74468,0,74468,K-12 School,K-12 School,75364.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,497706.8125,1698176.0,0.0,0.0,False,Missing Data,11.84,0.16,"(47.56325, -122.35794)",False,-0.00035000000000451337,6.0000000004833964e-05
119,2016,NonResidential,K-12 School,St. Joseph K-8 School,700 18th Ave. E.,Seattle,WA,98112.0,1336800825,3,EAST,47.62548,-122.30828,1923,1.0,3,67743,0,67743,K-12 School,K-12 School,67743.0,,,34.0,39.09999847,44.79999924,82.30000305,89.30000305,2646879.0,3036464.0,0.0,392082.5938,1337786.0,13090.93066,1309093.0,False,Compliant,78.85,1.16,"(47.62571, -122.30801)",False,0.00022999999999484544,0.00027000000000043656
120,2016,NonResidential,K-12 School,Holy Names Academy,728 21st Ave East,Seattle,WA,98112.0,1338800660,3,EAST,47.62644,-122.30429,1908,1.0,6,194104,0,194104,K-12 School,K-12 School,194104.0,,,100.0,32.0,37.09999847,54.0,60.09999847,6219841.5,7204080.0,0.0,553309.6875,1887893.0,43319.48828,4331949.0,False,Compliant,243.23,1.25,"(47.62608, -122.30418)",False,-0.0003600000000005821,0.00010999999999228294
121,2016,NonResidential,Small- and Mid-Sized Office,2100 Building,2100 24th Ave S,Seattle,WA,98144.0,1498303116,3,SOUTHEAST,47.58408,-122.30125,2003,1.0,3,99433,35752,63681,"Office, Parking",Office,63681.0,Parking,35752.0,63.0,76.90000153,78.19999695,241.5,245.6000061,4897760.0,4980737.5,0.0,1435451.25,4897760.0,0.0,0.0,False,Compliant,34.14,0.34,"(47.58419, -122.30125)",False,0.00010999999999938836,0.0
122,2016,SPS-District K-12,K-12 School,John Muir Elementary,3301 S. Horton St.,Seattle,WA,98144.0,1524049002,2,SOUTHEAST,47.57324,-122.29058,1991,1.0,2,58933,0,58933,K-12 School,K-12 School,60725.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687906.875,2347138.0,0.0,0.0,False,Missing Data,16.36,0.28,"(47.57347, -122.29075)",False,0.00023000000000195087,-0.0001699999999971169
125,2016,SPS-District K-12,K-12 School,Mercer International Middle,1600 Columbian Way S.,Seattle,WA,98108.0,1624049214,2,GREATER DUWAMISH,47.56413,-122.31208,1957,1.0,1,130862,0,130862,K-12 School,K-12 School,134446.0,,,61.0,48.0,54.29999924,85.59999847,93.5,6456026.0,7300977.5,0.0,663194.5,2262820.0,41932.06641,4193207.0,True,Error - Correct Default Data,238.48,1.82,"(47.56413, -122.31208)",True,0.0,0.0
127,2016,SPS-District K-12,K-12 School,Orca K-8 School,5215 46th Ave. S.,Seattle,WA,98118.0,1704900242,2,SOUTHEAST,47.55478,-122.27596,1989,1.0,3,59955,0,59955,K-12 School,K-12 School,59955.0,,,93.0,27.20000076,29.20000076,78.69999695,83.0,1633399.375,1749171.25,0.0,420989.4063,1436416.0,1969.83252,196983.0,True,Error - Correct Default Data,20.48,0.34,"(47.55475, -122.27596)",False,-3.0000000002416982e-05,0.0
